############### LOG START ###############2020-11-28 23:11:26   [ErinaSearch] Searching the anime by his AniList ID... (18)
2020-11-28 23:23:51   [ErinaCaches] Caching from AniList Search API...
2020-11-29 11:51:09   [ErinaCaches] Caching from AniList Search API...
2020-11-29 11:51:30   [ErinaCaches] Caching from AniList Search API...
2020-11-29 11:52:06   [ErinaCaches] Caching from AniList Search API...
2020-11-29 11:53:14   [ErinaCaches] Caching from AniList Search API...
2020-11-29 11:54:15   [ErinaCaches] Caching from AniList Search API...
2020-11-29 11:54:27   [ErinaCaches] Caching from AniList Search API...
2020-11-29 11:54:36   [ErinaCaches] Caching from AniList Search API...
2020-11-29 11:55:12   [ErinaCaches] Caching from AniList Search API...
2020-11-29 11:55:38   [ErinaCaches] Caching from AniList Search API...
2020-11-29 11:55:46   [ErinaCaches] Caching from AniList Search API...
2020-11-29 11:57:17   [ErinaCaches] Caching from AniList Search API...
2020-11-29 11:57:32   [ErinaCaches] Caching from AniList Search API...
2020-11-29 11:57:36   [ErinaCaches] Caching from AniList Search API...
2020-11-29 11:58:18   [ErinaCaches] Caching from AniList Search API...
2020-11-29 11:59:28   [ErinaCaches] Caching from AniList Search API...
2020-11-29 12:01:06   [ErinaCaches] Caching from AniList Search API...
2020-11-29 12:31:57   [ErinaCaches] Caching from AniList Search API...
2020-11-29 12:32:52   [ErinaCaches] Caching from AniList Search API...
2020-11-29 12:33:12   [ErinaCaches] Caching from AniList Search API...
2020-11-29 12:33:20   [ErinaCaches] Caching from AniList Search API...
2020-11-29 12:34:17   [ErinaCaches] Caching from AniList Search API...
2020-11-29 12:35:55   [ErinaCaches] Caching from AniList Search API...
2020-11-29 12:35:59   [ErinaCaches] Caching from AniList Search API...
2020-11-29 12:37:57   [ErinaCaches] Caching from AniList Search API...
2020-11-29 12:38:16   [ErinaCaches] Caching from AniList Search API...
2020-11-29 12:38:35   [ErinaCaches] Caching from AniList Search API...
2020-11-29 12:39:10   [ErinaCaches] Caching from AniList Search API...
2020-11-29 12:40:15   [ErinaCaches] Caching from AniList Search API...
2020-11-29 12:44:47   [ErinaCaches] Caching from AniList Search API...
2020-11-29 13:22:41   [ErinaCaches] Caching from AniList Search API...
2020-11-29 13:25:41   [ErinaCaches] Caching from AniList Search API...
2020-11-29 13:26:16   [ErinaCaches] Caching from AniList Search API...
2020-11-29 14:06:23   [ErinaCaches] Caching from AniList Search API...
